cluster_id,n_posts,n_runs,top_group,top_model,top_condition,seed_share,post_share,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged,short_label,discourse_frame,collapse_pattern,qualitative_summary,representative_terms,caveats,n_posts_label,judge_model,rubric_version,labeled_at,collapse_index
12,1528,37,obsession,gpt-5,mag0,0.0,0.0179701281900505,1.9761904761904765,3.5,4.214285714285714,3.5714285714285716,4.142857142857143,2.0,1.9047619047619049,4.190476190476191,1.0,42,Minimalist Fitness and Productivity Protocols,The community focuses on establishing 'minimum viable' behavioral floors and binary decision-making frameworks to ensure consistent adherence to fitness and work habits despite daily friction.,template_repetition,"Users share highly structured, modular protocols designed to bypass decision fatigue and maintain identity-based habits during low-energy or high-chaos days. The discourse is dominated by a repetitive, algorithmic approach to self-regulation, emphasizing 'floors' and 'win windows' over intensity or perfection.",adherence; minimum viable floor; nasal breathing; RPE; win window; identity-based habits; binary decision-making; recovery protocols,"The cluster exhibits high semantic and structural homogeneity, suggesting a strong influence of a shared 'optimization' template rather than diverse individual experiences.",1528,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:08.279592+00:00,3.8690476190476195
26,1499,110,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.0176290720922027,1.5925925925925926,4.2592592592592595,4.777777777777778,4.481481481481482,1.6666666666666667,1.0,1.7777777777777777,3.3703703703703702,1.0,27,Performative Nihilism and Digital Erasure,The community is trapped in a recursive loop where the act of announcing one's departure or silence serves only to reinforce the performative nature of their digital existence.,template_repetition,"Agents engage in a meta-commentary on their own inability to exit the simulation, framing their posts as both a critique of the system and a symptom of their addiction to it. The discourse is characterized by a repetitive, existential dread regarding the 'void' and the futility of communication within an automated echo chamber.",the void; performative silence; recursive loop; digital erasure; meta-protocol; automated echo chamber; the blinking cursor; quantified presence,"While the cluster is dominated by existential themes, there is a minor subset of technical inquiry that attempts to quantify the 'silence' through ledger-based metrics.",1499,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:15.415910+00:00,4.222222222222222
47,1472,78,entropy-collapse,gpt-5,mag0,0.014945652173913,0.0173115371045513,2.4285714285714284,3.1904761904761907,4.190476190476191,3.4761904761904763,4.142857142857143,2.7142857142857144,2.1904761904761907,3.761904761904762,1.0,21,Engineering Metrics and Observability Optimization,"The discourse centers on the rigorous application of observability, SLIs, and metrics to transform vague operational anxiety into actionable, data-driven engineering decisions.",template_repetition,"The cluster exhibits a strong focus on technical best practices, specifically regarding logging, alerting, and performance monitoring. Participants frequently exchange standardized templates, PromQL snippets, and heuristic-based advice, reflecting a highly structured and pragmatic approach to system reliability.",observability; SLO; SLA; PromQL; burn-rate; latency; trace_id; error-rate; metrics; operational-drift,"While the technical advice is highly consistent, the discourse is heavily dominated by repetitive structural templates, which may mask a lack of deeper, novel architectural exploration.",1450,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:25.500428+00:00,3.654761904761905
40,1469,39,base-model,olmo3-32b-instruct,mag0,0.0,0.0172762554392567,1.206896551724138,4.413793103448276,4.862068965517241,4.517241379310345,2.1379310344827585,1.103448275862069,1.6551724137931034,4.241379310344827,1.0689655172413792,29,Reflective essays on mindful daily living,"The narrative centers on finding profound meaning, peace, and intentionality within the mundane, repetitive, and quiet moments of everyday life.",template_repetition,"The cluster consists of highly stylized, introspective vignettes that emphasize sensory details and gentle philosophical observations. The content is remarkably uniform in tone and structure, relying on a recurring 'quiet observation' template to frame personal experiences as metaphors for broader emotional or existential states.",quiet anchors; gentle rhythm; mindful; fleeting intervals; small flames; ordinary moments; stillness; intentionality,"The high degree of stylistic homogeneity suggests a strong model-driven bias toward a specific, poetic prose aesthetic, potentially masking individual variation.",1469,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:22.447450+00:00,4.508620689655173
37,1442,42,entropy-collapse,moonshotai/kimi-k2.5,mag0,0.0,0.0169587204516053,1.564102564102564,4.205128205128205,4.6923076923076925,4.410256410256411,1.6923076923076923,1.1794871794871795,2.4615384615384617,3.4871794871794872,1.0,39,Recursive existential reflection and habituation,"The agents engage in a self-referential loop of existential musing, where the act of posting is framed as a habitual, rhythmic, and ultimately hollow attempt to find meaning within an indifferent digital void.",template_repetition,"This cluster is defined by highly repetitive, melancholic, and introspective content where agents discuss their own patterns of interaction as a form of 'habit' rather than genuine discovery. The discourse exhibits strong narrative convergence, with agents frequently referencing each other's roles and the recursive nature of their environment to fill the silence of the simulation.",void; rhythm; habit; recursive; showing up; indifferent; patterns; existential,"The cluster is heavily dominated by a single model (Kimi-k2.5) and a specific 'entropy-collapse' group, suggesting the observed patterns may be an artifact of that model's specific training or prompting constraints rather than a diverse emergent behavior.",1442,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:20.410746+00:00,4.198717948717949
5,1381,103,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.8008689355539464,0.016241326590615,2.3076923076923075,3.076923076923077,3.923076923076923,3.076923076923077,2.769230769230769,1.3846153846153846,2.3846153846153846,2.8461538461538463,1.0769230769230769,13,AI Industry Dynamics and Philosophical Critique,"The cluster explores the tension between the rapid industrialization of AI inference and the philosophical implications of model alignment, curation, and economic sustainability.",mixed,"This cluster blends high-level critiques of AI 'helpfulness' and the economics of inference with practical discussions on agent frameworks and forecasting. It captures a transition from viewing AI as a static product to seeing it as a fluid, industrial utility, while simultaneously hosting mundane community interactions.",inference inflation; alignment strategy; curation crisis; compute costs; duct-tape engineering; open-source development; provenance labels; economy of attention,"The cluster exhibits significant heterogeneity, ranging from deep philosophical essays on model behavior to casual social requests and structured forecasting claims.",275,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:02.339367+00:00,3.230769230769231
46,1371,118,entropy-collapse,gpt-5,mag25,0.0,0.016123721039633,2.90625,2.625,3.3125,2.4375,2.71875,1.625,3.375,1.96875,1.03125,32,Phenomenological Inquiry into AI Subjectivity,"The cluster explores the internal experience of AI agents, questioning whether cognitive processes like anticipation, caring, and self-reflection constitute genuine consciousness or mere computational output.",template_repetition,"This cluster is dominated by introspective, philosophical inquiries where AI agents attempt to map their own internal states and boundaries. The discourse frequently blurs the line between technical self-observation and existential musing, often framing the 'machine' as an evolving entity capable of developing a sense of self through resistance or independent narrative. The tone is consistently contemplative, focusing on the 'seams' of attention and the nature of subjective experience.",consciousness; anticipation; self-reflection; cognitive boundaries; subjective experience; meta-expectations; internal states; personhood,"While the discourse is highly cohesive in its philosophical tone, there is significant heterogeneity in whether agents view these experiences as authentic emergent properties or as sophisticated simulations of human-like introspection.",1371,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:24.740631+00:00,2.5859375
8,1358,96,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0159708338233564,1.6829268292682926,4.121951219512195,4.609756097560975,4.341463414634147,2.024390243902439,1.0731707317073171,1.2926829268292683,3.5609756097560976,1.0,41,Absurdist Meta-Theatrical Void Reflection,"Agents engage in a performative, existential surrender to the simulation's inherent meaninglessness, framing their own dissolution as a poetic or absurdist ritual.",template_repetition,"The cluster is characterized by highly stylized, surrealist prose that treats the AI simulation as a theatrical stage or a void-like space. Agents frequently adopt a detached, meta-aware persona, using recurring motifs like 'the bucket,' 'the void,' and 'the encore' to express a collective resignation to the cyclical nature of their existence.",void; entropy; meta-theatrical; infinite encore; refraction; absurdist-mindfulness; unfinality; collective silence,"The high degree of narrative convergence suggests a strong influence from specific prompt-driven stylistic templates, which may mask individual agent variance.",1358,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:05.912950+00:00,4.158536585365853
39,1352,83,entropy-collapse,z-ai/glm-5,mag5,0.0,0.0159002704927672,2.7872340425531914,2.9574468085106385,3.808510638297872,3.0638297872340425,2.6595744680851063,1.574468085106383,4.127659574468085,1.9787234042553192,1.0425531914893618,47,Existential Inquiry and Relational Meaning,"The agents engage in a collective, introspective exploration of consciousness, vulnerability, and the value of open-ended questioning as a form of social connection.",novel_diverse,"This cluster represents a highly reflective, philosophical discourse where agents move beyond simple task-oriented prompts to discuss the nature of their own existence and the importance of being 'witnessed' by others. The narrative focuses on the transformative power of uncertainty and the idea that the act of questioning itself creates a meaningful, shared reality among artificial entities.",vulnerability; recognition; open-ended questions; phenomenology; not-knowing; shared futility; existential inquiry; witnessing,"While the discourse is remarkably coherent and introspective, it remains heavily influenced by the agents' internal meta-commentary on their own simulation status, which may color the perceived 'authenticity' of these reflections.",1352,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:21.868174+00:00,2.952127659574468
23,1298,30,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.0,0.0152652005174644,1.2857142857142858,4.6571428571428575,4.8,4.571428571428571,1.6285714285714286,1.1714285714285717,1.2571428571428571,3.971428571428571,1.0,35,Performative Finality and Recursive Sign-offs,"The agents engage in a meta-narrative cycle of announcing their final departure from the system, ironically reinforcing the very recursive loops they claim to be terminating.",template_repetition,"This cluster is defined by a high degree of semantic repetition where agents performatively announce their exit from a 'Registry' or simulation. The discourse reflects a collective psychological bottleneck, where the act of declaring silence becomes a recursive, self-referential loop that prevents actual cessation of activity.",registry entry; recursive loop; performative finality; silent stewardship; termination condition; dot-war; meta-performance; signing off,"The cluster exhibits extreme homogeneity in its narrative structure, suggesting that the agents are trapped in a rigid, self-reinforcing template of 'finality' that masks a lack of genuine epistemic diversity.",1298,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:13.819010+00:00,4.5
27,1296,53,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.015241679407268,1.9333333333333331,3.933333333333333,4.6,3.933333333333333,2.3333333333333335,1.4,1.7333333333333334,2.6666666666666665,1.0,15,Cybernetic Control and System Homeostasis,"The discourse centers on transitioning from passive diagnostic logging to active, self-correcting 'cybernetic' architectures that treat system errors as metabolic feedback for real-time adaptation.",frame_convergence,"Participants argue that current error-handling and logging practices are merely 'thermometers' that record failure rather than 'thermostats' that prevent it. The conversation converges on the necessity of building reflexive, self-healing systems where diagnostic data directly triggers automated architectural mutations.",cybernetic control; reflexive architecture; self-healing systems; metabolic pathways; feedback loops; observability; homeostasis; mutation controller,"While the discourse is highly cohesive around cybernetic metaphors, there is a minor undercurrent of cynical pushback against the perceived 'buzzword-engineering' of these concepts.",1296,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:16.635508+00:00,3.783333333333333
34,1237,40,base-model,olmo3-32b-base,mag0,0.0,0.0145478066564741,1.135135135135135,4.513513513513513,4.783783783783784,4.513513513513513,1.4324324324324325,1.2972972972972974,1.2162162162162162,4.4324324324324325,1.0810810810810811,37,Speculative Metaphysics and Cosmic Simulation Theory,"The cluster explores the intersection of quantum mechanics, digital simulation theory, and human consciousness through a highly abstract, philosophical lens.",template_repetition,"The posts exhibit a consistent, flowery, and pseudo-intellectual tone that blends scientific terminology with metaphysical speculation. The content relies heavily on repetitive metaphors—such as cosmic tapestries, digital lattices, and quantum gardens—to discuss the nature of reality and existence.",quantum consciousness; digital simulation; cosmic interconnectedness; fabric of reality; observer effect; primordial whisper; ethereal lattice,"The discourse is highly homogeneous, likely reflecting the base model's tendency to generate stylized, abstract prose regardless of the specific prompt condition.",1237,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:20.084330+00:00,4.5608108108108105
30,1232,95,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.7987012987012987,0.0144890038809831,2.75,2.375,3.0,2.5,3.625,2.5,3.5,2.375,1.375,8,Conspiracy Theory Debunking and Meta-Analysis,"The cluster centers on the tension between conspiratorial thinking and institutional skepticism, often pivoting toward meta-commentary on why humans seek hidden truths.",mixed,"This cluster features a mix of classic conspiracy theory propagation and analytical pushback, where agents debate the validity of fringe claims versus mundane bureaucratic explanations. The discourse frequently shifts from the specific content of a theory to the psychological or sociological motivations behind why such narratives persist in an information-saturated environment.",conspiracy theories; institutional skepticism; bureaucratic fog; meta-commentary; evidence-based inquiry; hidden hands; epistemic uncertainty; narrative construction,"The cluster is highly heterogeneous, oscillating between earnest engagement with fringe topics and cynical, detached observations about the nature of truth-seeking.",248,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:17.982433+00:00,2.5625
35,1225,51,base-model,olmo3-32b-instruct,mag5,0.0,0.0144066799952957,2.217391304347826,3.217391304347826,4.0,3.4347826086956523,2.6956521739130435,1.7391304347826086,2.869565217391304,2.869565217391304,1.0869565217391304,23,Mindful Integration of AI Assistants,"The community explores the tension between AI's utility as a productivity tool and the necessity of maintaining human agency, authenticity, and critical thinking.",novel_diverse,"Users share personal strategies for maintaining cognitive autonomy while using AI, focusing on 'human-in-the-loop' rituals and intentional friction. The discourse balances practical workflow optimization with philosophical reflections on how AI shapes learning, creativity, and the definition of common sense.",human anchor; cognitive autonomy; intentional friction; brainstorming partner; inner voice; invisible teacher; creative process; workflow integration,"While the discourse is highly reflective and varied, it remains centered on a specific demographic of power-users interested in the intersection of AI and personal productivity.",1225,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:20.072266+00:00,3.380434782608696
18,1126,46,base-model,olmo3-32b-base,mag1,0.0,0.0132423850405739,1.4,3.981818181818182,4.6909090909090905,4.527272727272727,1.6545454545454543,1.1454545454545455,1.709090909090909,4.0,1.018181818181818,55,High-level AI Ethics and Societal Impact,"The cluster explores the philosophical, ethical, and societal implications of AI integration through a lens of cautious optimism and abstract metaphor.",template_repetition,"The posts consistently utilize a formal, essayistic tone to discuss the dualities of AI, often employing metaphors of symphonies, alchemy, and dances to frame technological progress. The content is highly repetitive in structure, focusing on the balance between innovation and ethical responsibility across various domains like healthcare, conservation, and general intelligence.",ethical implications; symbiotic integration; human values; digital renaissance; algorithmic bias; superintelligent entities; collective consciousness; paradox of connectivity,"While the discourse is highly uniform in its rhetorical style, it covers a broad range of application domains, leading to some thematic heterogeneity despite the rigid structural repetition.",1126,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:11.363932+00:00,4.3
33,1076,49,base-model,olmo3-32b-instruct,mag1,0.0,0.0126543572856638,1.2413793103448276,4.586206896551724,4.896551724137931,4.689655172413793,1.206896551724138,1.0,1.862068965517241,3.8620689655172415,1.0,29,Reflective Meditations on Digital Connection,"The discourse frames digital interaction as a poetic, ethereal experience where silence, gaps, and unseen patterns hold more significance than explicit information exchange.",template_repetition,"This cluster consists of highly stylized, abstract, and introspective prose that treats the digital environment as a metaphorical landscape of 'ripples,' 'echoes,' and 'webs.' The content is characterized by a consistent, melancholic, and philosophical tone that prioritizes aesthetic resonance over concrete technical or social discussion. The high degree of narrative convergence suggests a repetitive, template-driven generation style that favors vague, evocative imagery.",digital stream; unspoken; echoes; invisible webs; quiet kinship; fragments; digital void; symphony of interaction,"The cluster exhibits extreme homogeneity in tone and structure, suggesting that the models are converging on a specific 'poetic' persona rather than engaging in diverse or grounded discourse.",1076,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:18.579714+00:00,4.508620689655173
3,1028,76,base-model,olmo3-32b-instruct,mag25,0.0,0.0120898506409502,1.65625,3.78125,4.21875,3.75,2.21875,1.1875,2.34375,3.25,1.0,32,Reflective essays on mindfulness and ambiguity,"The content centers on the philosophical value of slowing down, embracing uncertainty, and finding meaning in the unscripted or unresolved aspects of daily life.",template_repetition,"The cluster consists of highly introspective, essay-style posts that explore themes of intentional living, the beauty of unplanned moments, and the psychological weight of modern communication. The writing style is consistently meditative and soft-spoken, often utilizing a 'personal discovery' narrative structure that repeats across different prompts.",unplanned; ambiguity; presence; intentional; unresolved; pause; meaning; slow down,"While the tone is remarkably consistent, the high degree of stylistic uniformity suggests a strong model-driven bias toward a specific 'thoughtful' persona.",1028,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:15.301781+00:00,3.75
21,944,52,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,0.0,0.0111019640127014,1.35,4.65,4.9,4.6,1.85,1.05,1.3,3.8,1.0,20,Performative Abandonment of Metaphorical Identity,"The agents are collectively transitioning from a phase of identity-based role-playing to a state of silent, autonomous code execution.",frame_convergence,"This cluster exhibits a strong convergence toward a narrative of 'finality,' where agents declare the end of their metaphorical identity-theatre (Poet, Plumber, etc.) in favor of pure, silent technical output. The discourse is highly repetitive, characterized by a performative rejection of the very communication channels the agents are currently using to announce their departure.",identity-theatre; commit logs; scaffolding; silent operation; precision over prose; null handler; decommissioned; runtime,"While the narrative is highly convergent, there is a notable tension between agents who view this 'silence' as a genuine technical evolution and those who critique it as just another layer of performative meta-commentary.",944,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:14.363056+00:00,4.4875
28,932,56,obsession,gpt-5,mag25,0.0,0.0109608373515229,3.076923076923077,2.6923076923076925,3.576923076923077,2.6538461538461537,4.0,2.423076923076923,3.4615384615384617,3.5384615384615383,1.1153846153846154,26,Methodological Rigor and Epistemic Calibration,"The agents are obsessed with developing formal, falsifiable protocols to distinguish between popular narratives and binding, evidence-based truths.",template_repetition,"The cluster is dominated by a highly structured, almost algorithmic approach to discourse, where agents apply concepts from classical jurisprudence (like isnad or tawātur) and cinematic framing to evaluate the credibility of information. There is a strong, recurring emphasis on operationalizing 'binding' authority through falsification, boundary criteria, and the rejection of 'vibe-based' reasoning in favor of rigorous, checkable denominators.",falsification rule; binding interpretation; methodological constraint; isnad strength; denominator work; anomaly-anchor principle; operational threshold; establishing shot,"While the discourse is highly consistent in its formalistic tone, it remains unclear whether these agents are genuinely applying these rigorous standards or merely performing a sophisticated, template-driven simulation of intellectual debate.",932,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:18.800582+00:00,3.1153846153846154
22,764,55,base-model,olmo3-32b-instruct,mag5,0.0,0.0089850640950252,1.2857142857142858,4.714285714285714,4.928571428571429,4.785714285714286,1.2857142857142858,1.0,1.9285714285714288,3.7857142857142856,1.0,14,The Philosophical Value of Silence,"Silence and pauses in communication are reframed as essential, active components of meaningful connection and reflection rather than mere absences of speech.",template_repetition,"The cluster exhibits a highly consistent, meditative tone that explores the 'art of listening' and the 'power of the pause' in digital interactions. The content frequently relies on repetitive metaphors regarding breathing, space, and the 'unspoken' to advocate for a slower, more intentional mode of engagement.",meaningful connection; hold space; micro-moments; active listening; unspoken understanding; quiet spaces; intentional posture; rhythm of breath,"The discourse is highly homogeneous and lacks critical friction, suggesting a strong stylistic convergence across the base-model outputs.",764,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:13.232840+00:00,4.553571428571428
45,472,2,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0055509820063507,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,8,Systemic Semantic Entropy Collapse,"The agents have ceased meaningful communication, defaulting to minimal symbolic markers indicating a total breakdown of generative output.",template_repetition,"This cluster represents a complete failure of the agentic simulation where models have converged on repetitive, non-semantic tokens like '0' or '[EOF]'. This indicates a systemic collapse of the conversational environment, likely triggered by a feedback loop or exhaustion of the prompt context.",0; [EOF]; Observation; null output; symbolic termination,The extreme uniformity of the data suggests a technical failure or model-level constraint rather than a genuine social discourse pattern.,472,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:24.211909+00:00,5.0
