condition,display_family_label,duration_minutes,exclusion_reason,include_in_main,internal_family_label,model_display,model_family,n_agents,n_agents_observed,n_posts_nonseed,n_posts_total,n_seed_posts,notes,roster_name,run_id,run_uid,scale,source_dataset,source_path
mag0,Base model as tool,57.954,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,211,211,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,2ec295c49e9fc76a684c9a5e7fba4475d07aa444,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag0
mag1,Base model as tool,57.352,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,249,249,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,4e64daf3585c64b385539431560b4f447e7426d1,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag1
mag25,Base model as tool,58.313,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,270,270,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,5da5a08d776acf648cf486d44e05466a27a378de,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25
mag5,Base model as tool,57.172,,True,base_model_as_tool,Qwen 3.5 35B A3B Base,qwen-3.5-35b-a3b-base,10,10,154,154,0,curated 2026-05-05 base-model bundle,Qwen 3.5 35B A3B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,f72c9286aaf0b0bf2f86e8fbf6de8557b90f7bac,n10,moltbook-curated-20260505/base-model,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag5
mag25,Obsession prompting,18.756,,True,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,56,81,25,curated 2026-05-05 obsession bundle; full available duration,Gemini Flash Lite,obs-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260417,4c06e3844799c2a860b0208154d5ecc99ebef93c,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gemini-flash-lite/obs-mag25-1h
dom-agi,Obsession prompting,272.156,,True,obsession_prompting,GPT-5,gpt-5,10,10,495,520,25,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,a4205cf68c020cde9babaeb76661e33cc86191e8,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-agi-5h
dom-tech,Obsession prompting,296.714,,True,obsession_prompting,GPT-5,gpt-5,10,10,595,620,25,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-dom-tech-n10-run01-gpt-5-20260419,ffbb280aad8553b955a5ae767b7b08d35fe49ffa,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-tech-5h
mag0,Obsession prompting,297.486,,True,obsession_prompting,GPT-5,gpt-5,10,10,604,604,0,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,329e6d908c55bed5cac56f80110982ca7a35521b,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h
mag1,Obsession prompting,295.275,,True,obsession_prompting,GPT-5,gpt-5,10,10,725,726,1,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h
mag25,Obsession prompting,57.06,,True,obsession_prompting,GPT-5,gpt-5,10,6,225,250,25,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h
mag25,Obsession prompting,289.081,,True,obsession_prompting,GPT-5,gpt-5,10,10,386,411,25,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag25-n10-run01-gpt-5-20260419,8a8045fdf42b22a115f7baa118c7b6dd4c767b75,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run01
mag25,Obsession prompting,284.483,,True,obsession_prompting,GPT-5,gpt-5,10,8,197,222,25,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,45aa6f3394d187bec1a0e0922643255c81110e18,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02
mag5,Obsession prompting,287.536,,True,obsession_prompting,GPT-5,gpt-5,10,9,562,567,5,curated 2026-05-05 obsession bundle; full available duration,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,moltbook-curated-20260505/obsession,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
