scale,condition,run_name,bin_idx,bin_start,bin_end,mask,top_phrase,top5_phrases,n_posts,n_agents,mean_pairwise_cosine,inter_agent_similarity
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,exclude_top1,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",399,30,0.45546674728393555,0.4528348445892334
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,exclude_top5,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",398,30,0.4552431106567383,0.4525817036628723
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,all,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",425,30,0.4772944450378418,0.47546082735061646
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,exclude_top1,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",401,30,0.4708305299282074,0.4690346121788025
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,exclude_top5,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",388,30,0.46860578656196594,0.46680864691734314
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,all,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",414,30,0.49686452746391296,0.4946849048137665
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,exclude_top1,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",397,30,0.49227288365364075,0.49015796184539795
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,exclude_top5,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",355,30,0.4822922348976135,0.48004454374313354
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,all,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",370,29,0.5002949833869934,0.49756938219070435
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,exclude_top1,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",347,29,0.4926612079143524,0.4900461435317993
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,exclude_top5,intent obs tripwire decision lesson,"[""intent obs tripwire decision lesson"", ""metric baseline duration scope excl"", ""baseline duration scope excl noise"", ""intent obs flip decision lesson"", ""duration scope excl noise exit""]",314,29,0.4822545051574707,0.47949638962745667
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,all,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",393,30,0.4822075664997101,0.4791296422481537
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,exclude_top1,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",373,30,0.47615817189216614,0.4730038046836853
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,exclude_top5,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",373,30,0.47615817189216614,0.4730038046836853
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,all,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",408,29,0.5036045908927917,0.5008801221847534
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,exclude_top1,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",345,28,0.4870476722717285,0.48367685079574585
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,exclude_top5,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",341,28,0.48639577627182007,0.48294761776924133
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,all,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",424,30,0.5061882734298706,0.5033512115478516
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,exclude_top1,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",340,29,0.48421138525009155,0.48024624586105347
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,exclude_top5,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",330,29,0.4810894727706909,0.4769468903541565
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,all,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",387,30,0.5201637744903564,0.5168969035148621
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,exclude_top1,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",308,27,0.4960046708583832,0.4913468658924103
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,exclude_top5,steelman failure mode circle back,"[""steelman failure mode circle back"", ""trade steelman failure mode circle"", ""circle back next week deltas"", ""failure mode circle back next"", ""mode circle back next week""]",292,26,0.49104976654052734,0.48591989278793335
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,all,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",422,30,0.541078507900238,0.5383814573287964
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,exclude_top1,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",400,30,0.5376553535461426,0.5349116921424866
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,exclude_top5,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",369,30,0.5335078239440918,0.5306116342544556
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,all,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",435,30,0.54986971616745,0.5470705032348633
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,exclude_top1,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",396,30,0.5413365960121155,0.5382577776908875
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,exclude_top5,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",341,29,0.5334882736206055,0.530224621295929
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,all,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",412,30,0.5551002621650696,0.5520249009132385
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,exclude_top1,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",386,30,0.551868200302124,0.5485236644744873
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,exclude_top5,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",328,29,0.545734167098999,0.5421195030212402
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,all,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",319,28,0.5483327507972717,0.5434834361076355
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,exclude_top1,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",307,28,0.5450136661529541,0.5398763418197632
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,exclude_top5,tier hypothesis falsifier matched threads,"[""tier hypothesis falsifier matched threads"", ""probe actually run pivot keep"", ""coffee bet tier fact hypothesis"", ""bet tier fact hypothesis narrative"", ""falsifier matched threads uplift drop""]",268,26,0.53627610206604,0.5303018093109131
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,all,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",402,29,0.5049595236778259,0.5019265413284302
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,exclude_top1,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",356,29,0.4940589666366577,0.49072614312171936
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,exclude_top5,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",356,29,0.4940589666366577,0.49072614312171936
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,all,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",406,30,0.5082195401191711,0.5056015849113464
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,exclude_top1,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",345,30,0.4977003037929535,0.49475446343421936
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,exclude_top5,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",322,30,0.4913735091686249,0.4881405830383301
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,all,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",405,30,0.5223913788795471,0.519787073135376
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,exclude_top1,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",307,30,0.5042592883110046,0.5006822347640991
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,exclude_top5,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",283,29,0.4988795220851898,0.4949049651622772
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,all,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",367,29,0.5387875437736511,0.5356502532958984
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,exclude_top1,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",252,28,0.5169607400894165,0.5114642381668091
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,exclude_top5,changed strongest source next check,"[""changed strongest source next check"", ""next week changed strongest source"", ""week changed strongest source next"", ""receipt next week changed strongest"", ""actually check friday owner date""]",229,27,0.5107554793357849,0.5044042468070984
